date,open,high,low,close,volume,market_cap
2022-12-14,4.1634,4.2101,3.8771,3.8929,24952417.0,1088082965.0
2022-12-15,3.9951,4.039,3.8771,3.9255,17950774.0,1097217871.0
2022-12-16,3.925,3.9805,3.5316,3.5508,26281207.0,992500242.0
2022-12-17,3.5553,3.7329,3.4327,3.6895,37659352.0,1031260367.0
2022-12-18,3.6893,3.7299,3.6154,3.6844,11130022.0,1029877238.0
2022-12-19,3.6846,3.7393,3.389,3.4877,18318697.0,974955873.0
2022-12-20,3.4909,3.7376,3.4612,3.7237,18990448.0,1040951658.0
2022-12-21,3.7229,3.7331,3.5915,3.7134,15636213.0,1036448849.0
2022-12-22,3.7144,3.7764,3.6138,3.7393,15478400.0,1043683691.0
2022-12-23,3.7395,3.7815,3.642,3.6627,15419992.0,1022320197.0
2022-12-24,3.6627,3.7613,3.6627,3.7502,10734110.0,1046875467.0
2022-12-25,3.7491,3.7758,3.7096,3.7666,12080350.0,1051463232.0
2022-12-26,3.7664,3.921,3.7658,3.8557,21356451.0,1076339194.0
2022-12-27,3.8554,3.9335,3.7716,3.8343,17868624.0,1070362369.0
2022-12-28,3.8343,4.0232,3.7905,3.9669,34596903.0,1107438409.0
2022-12-29,3.9664,4.099,3.9188,4.0206,30380252.0,1122436781.0
2022-12-30,4.0196,4.1387,3.9109,4.1204,24477589.0,1150306997.0
2022-12-31,4.1204,4.1683,3.9302,3.9302,19624031.0,1097219300.0
2023-01-01,3.9309,4.0526,3.9196,4.0176,15646294.0,1121673215.0
2023-01-02,4.0188,4.2047,3.9539,3.9989,31921873.0,1116481963.0
2023-01-03,3.999,4.0517,3.8407,3.9141,41266215.0,1092804713.0
2023-01-04,3.914,4.0342,3.9056,3.951,27441685.0,1103099437.0
2023-01-05,3.9505,3.9677,3.8029,3.8153,23778812.0,1065235055.0
2023-01-06,3.8153,3.9121,3.7707,3.9062,20039742.0,1090875975.0
2023-01-07,3.9055,4.0289,3.8937,4.0169,18218328.0,1121832387.0
2023-01-08,4.0165,4.1098,3.9488,4.1078,21818950.0,1147793111.0
2023-01-09,4.1079,4.3699,4.0983,4.2465,65408947.0,1186613928.0
2023-01-10,4.2463,4.3248,4.1832,4.3168,22978029.0,1221868905.0
2023-01-11,4.317,4.368,4.1251,4.3381,28225361.0,1228744078.0
2023-01-12,4.3377,4.5306,4.2519,4.5088,41450455.0,1277643137.0
2023-01-13,4.5091,4.6505,4.3638,4.6038,31000125.0,1306737488.0
2023-01-14,4.6038,5.3103,4.6016,5.0544,83043372.0,1434752868.0
2023-01-15,5.0588,5.4261,4.9488,5.1495,76812029.0,1461768726.0
2023-01-16,5.1499,5.2731,4.8651,5.0257,44893411.0,1426648398.0
2023-01-17,5.0272,5.4407,4.9868,5.1051,43079982.0,1449202433.0
2023-01-18,5.1034,5.5445,4.9319,4.9539,60806545.0,1406283256.0
2023-01-19,4.9526,5.1485,4.8765,5.1422,34556923.0,1462829831.0
2023-01-20,5.1421,5.6089,4.9405,5.5331,48217489.0,1574028040.0
2023-01-21,5.53,5.7073,5.4135,5.4229,53719977.0,1542925913.0
2023-01-22,5.4226,5.9156,5.3523,5.5461,59616400.0,1577989434.0
2023-01-23,5.5451,5.9511,5.5451,5.8077,54851126.0,1652520104.0
2023-01-24,5.8057,5.9756,5.4624,5.5153,41436209.0,1569330992.0
2023-01-25,5.515,5.9064,5.399,5.774,41615890.0,1643309206.0
2023-01-26,5.772,6.0263,5.739,5.8399,50536653.0,1662054491.0
2023-01-27,5.841,6.1732,5.6475,6.0514,51048043.0,1722252624.0
2023-01-28,6.0528,6.1018,5.8156,6.0698,36193125.0,1727538495.0
2023-01-29,6.0721,6.2694,6.0163,6.2558,47200167.0,1780461962.0
2023-01-30,6.2561,6.2561,5.6403,5.7779,43393396.0,1644460643.0
2023-01-31,5.7788,5.9415,5.6518,5.8798,39602561.0,1673660733.0
2023-02-01,5.8794,6.1756,5.6632,6.0564,58270155.0,1724221776.0
2023-02-02,6.0547,6.1398,5.7658,5.7658,69407529.0,1641503299.0
2023-02-03,5.7632,5.8952,5.7454,5.8713,32618054.0,1671594851.0
2023-02-04,5.8714,5.9561,5.7745,5.7949,24396512.0,1649850446.0
2023-02-05,5.7952,5.9546,5.5909,5.6298,38257327.0,1603258656.0
2023-02-06,5.6294,5.6801,5.3964,5.4464,31284652.0,1551324504.0
2023-02-07,5.4451,5.8824,5.44,5.8344,49575059.0,1663341236.0
2023-02-08,5.8354,5.9734,5.6274,5.7191,46156440.0,1630527235.0
2023-02-09,5.7209,5.7442,4.9927,5.0732,56384414.0,1446566104.0
2023-02-10,5.0746,5.1875,5.0057,5.0803,35778157.0,1467448529.0
2023-02-11,5.0807,5.2808,5.0467,5.27,22740976.0,1522259214.0
2023-02-12,5.2708,5.6888,5.2003,5.5078,55354139.0,1590994782.0
2023-02-13,5.5071,5.6416,5.201,5.3495,56738168.0,1547166772.0
2023-02-14,5.349,5.5544,5.2995,5.5314,39819566.0,1599816940.0
2023-02-15,5.5311,6.0513,5.4982,6.0367,47670574.0,1749738187.0
2023-02-16,6.0359,6.2484,5.8647,5.9423,74707845.0,1722406403.0
2023-02-17,5.9396,7.7449,5.9268,7.317,261930585.0,2120937592.0
2023-02-18,7.3175,7.6412,7.0418,7.0709,105287933.0,2049585666.0
2023-02-19,7.0686,8.1728,7.0621,7.3259,191063766.0,2123561099.0
2023-02-20,7.3341,7.5046,7.1551,7.3407,103032226.0,2127867451.0
2023-02-21,7.3396,7.3465,6.7567,6.8889,78838544.0,1996914431.0
2023-02-22,6.8884,7.2779,6.4805,6.7304,102105091.0,1959956414.0
2023-02-23,6.7302,6.9511,6.59,6.6774,57172832.0,1944606766.0
2023-02-24,6.6773,6.8485,6.1214,6.2883,60108683.0,1831504636.0
2023-02-25,6.2888,6.3495,5.906,6.1163,41400966.0,1781505427.0
2023-02-26,6.1156,6.3101,6.035,6.2404,36189718.0,1817824343.0
2023-02-27,6.2402,6.4896,6.0077,6.1308,51560162.0,1785895061.0
2023-02-28,6.1308,6.1382,5.7736,5.7916,39268350.0,1687280490.0
2023-03-01,5.7916,6.2006,5.7584,6.1841,48550165.0,1801646654.0
2023-03-02,6.1837,6.1878,5.7796,5.9238,35899738.0,1728468790.0
2023-03-03,5.9244,5.9311,5.2984,5.5846,52097242.0,1631362844.0
2023-03-04,5.5848,5.6112,5.2337,5.3825,26852222.0,1572611999.0
2023-03-05,5.3833,5.5375,5.3061,5.3478,25713220.0,1562483152.0
2023-03-06,5.3472,5.5217,5.2542,5.3254,33839039.0,1555997060.0
2023-03-07,5.326,5.4173,5.189,5.3343,38631511.0,1558661555.0
2023-03-08,5.3342,5.3568,5.0043,5.0573,38260134.0,1477750504.0
2023-03-09,5.057,5.2494,4.6688,4.7688,50408504.0,1393576988.0
2023-03-10,4.7703,4.9712,4.5726,4.9294,51363958.0,1458807009.0
2023-03-11,4.9294,5.0382,4.5723,4.7492,46734813.0,1405476972.0
2023-03-12,4.7492,5.271,4.6758,5.251,41666812.0,1553994758.0
2023-03-13,5.2531,5.4537,5.0065,5.3689,71764167.0,1589074713.0
2023-03-14,5.371,5.7744,5.2488,5.54,76990440.0,1640214318.0
2023-03-15,5.5414,5.6896,4.9898,5.1818,62951746.0,1535779456.0
2023-03-16,5.1826,5.2598,5.0772,5.1849,39679664.0,1536696615.0
2023-03-17,5.1839,5.6579,5.1362,5.6495,48982689.0,1674488129.0
2023-03-18,5.6496,5.7566,5.3074,5.3311,48485969.0,1580135012.0
2023-03-19,5.332,5.6205,5.3318,5.4288,37517222.0,1609125136.0
2023-03-20,5.4276,5.5356,5.0708,5.1148,49317577.0,1516076264.0
2023-03-21,5.1144,5.2885,5.0282,5.2783,39304772.0,1571602089.0
2023-03-22,5.2774,5.2959,4.8746,5.0952,53043576.0,1518366356.0
2023-03-23,5.0951,5.2569,5.0031,5.2074,29006541.0,1551827920.0
2023-03-24,5.207,5.2461,4.871,4.9539,31410091.0,1476299179.0
2023-03-25,4.9533,4.9909,4.7974,4.8966,21242110.0,1459229362.0
2023-03-26,4.8966,5.025,4.8769,4.9954,18613521.0,1488755282.0
2023-03-27,4.9948,4.9949,4.6634,4.7655,29433108.0,1420314802.0
2023-03-28,4.7645,4.8627,4.6829,4.8374,22106066.0,1441797008.0
2023-03-29,4.8375,5.184,4.8362,5.1491,34532868.0,1534742211.0
2023-03-30,5.1487,5.1899,4.9243,5.0169,31293253.0,1495376505.0
2023-03-31,5.0188,5.2933,5.0021,5.1962,32504729.0,1548994289.0
2023-04-01,5.1961,5.2845,5.103,5.2086,24310209.0,1552694860.0
2023-04-02,5.2434,5.293,4.9955,5.0739,28967989.0,1512865641.0
2023-04-03,5.0738,5.0828,4.8166,4.9297,39557110.0,1469889029.0
2023-04-04,4.9294,5.0356,4.9111,4.9932,28743507.0,1489003816.0
2023-04-05,4.9934,5.1328,4.9479,5.0176,32661747.0,1497724880.0
2023-04-06,5.0183,5.0183,4.8572,4.8872,26542763.0,1458793557.0
2023-04-07,4.8868,5.0772,4.8164,4.993,30926641.0,1490414420.0
2023-04-08,4.9925,5.0262,4.8674,4.9151,18467891.0,1467343203.0
2023-04-09,4.915,5.0814,4.8566,5.0227,22132156.0,1499593762.0
2023-04-10,5.0228,5.2381,4.9651,5.1872,33289391.0,1568192205.0
2023-04-11,5.1884,5.3398,5.15,5.3363,36102503.0,1613295842.0
2023-04-12,5.3358,5.4605,5.1421,5.3178,46500857.0,1607736508.0
2023-04-13,5.4044,5.4989,5.2779,5.4754,34690809.0,1655363445.0
2023-04-14,5.4747,5.6521,5.3501,5.5087,45786351.0,1665664785.0
2023-04-15,5.5088,5.9405,5.3998,5.8921,51063263.0,1783742993.0
2023-04-16,5.8916,6.1738,5.7751,6.0786,56741792.0,1840586036.0
2023-04-17,6.0789,6.2754,5.8654,6.2468,70349919.0,1891520113.0
2023-04-18,6.2472,6.9712,6.1475,6.8107,119002307.0,2955398507.0
2023-04-19,6.8097,7.1945,6.0382,6.1199,121903531.0,2655683668.0
2023-04-20,6.1189,6.3704,5.8365,5.8791,57057659.0,2551216008.0
2023-04-21,5.8788,5.9247,5.4089,5.5367,51582126.0,2402671441.0
2023-04-22,5.5371,5.6207,5.4064,5.6153,26800635.0,2436822693.0
2023-04-23,5.6159,5.6159,5.2641,5.4235,26745400.0,2353615863.0
2023-04-24,5.4219,5.5707,5.2702,5.3776,25409121.0,2341777271.0
2023-04-25,5.3769,5.5298,5.1844,5.4865,31752602.0,2390029462.0
2023-04-26,5.4874,5.7068,5.0913,5.3109,48752930.0,2313558731.0
2023-04-27,5.3115,5.7752,5.2972,5.7434,42619538.0,2501991759.0
2023-04-28,5.7433,6.1405,5.6824,6.0492,85636057.0,2635280753.0
2023-04-29,6.0489,6.79,6.0292,6.5036,113159613.0,2833231306.0
2023-04-30,6.5032,6.6592,6.2435,6.4324,67949645.0,2802422331.0
2023-05-01,6.4296,6.4769,5.646,5.7666,79645167.0,2512361916.0
2023-05-02,5.7675,5.819,5.6298,5.7382,40613086.0,2500321570.0
2023-05-03,5.7359,5.9366,5.563,5.9275,43635365.0,2583442606.0
2023-05-04,5.929,6.1793,5.8063,5.9046,46521280.0,2573523735.0
2023-05-05,5.9063,6.0572,5.82,5.9475,39763168.0,2592247375.0
2023-05-06,5.9471,5.9741,5.5498,5.598,38076010.0,2439981766.0
2023-05-07,5.5984,5.7087,5.5448,5.5509,22170191.0,2419489249.0
2023-05-08,5.5494,5.6317,5.1851,5.3402,46916919.0,2327798961.0
2023-05-09,5.3401,5.3517,5.1709,5.2875,25411776.0,2304830974.0
2023-05-10,5.2879,5.4684,5.104,5.3037,40675552.0,2311980599.0
2023-05-11,5.3017,5.3017,4.9267,5.0125,38644616.0,2185087241.0
2023-05-12,5.0132,5.2315,4.9503,5.2278,27459874.0,2279055420.0
2023-05-13,5.228,5.23,5.1042,5.1488,17385848.0,2244635740.0
2023-05-14,5.1495,5.2896,5.0881,5.1906,19173807.0,2262840993.0
2023-05-15,5.191,5.3833,5.1284,5.2499,22753759.0,2290451213.0
2023-05-16,5.2491,5.2875,5.1786,5.2317,17928672.0,2282492080.0
2023-05-17,5.2309,5.4049,5.1341,5.3754,18825030.0,2345202373.0
2023-05-18,5.3754,5.4171,5.1486,5.2752,17752438.0,2301481950.0
2023-05-19,5.2732,5.3581,5.2233,5.3131,15559458.0,2318049719.0
2023-05-20,5.3135,5.315,5.1872,5.2273,11082265.0,2280719944.0
2023-05-21,5.2273,5.2305,5.0105,5.0546,14659801.0,2205367013.0
2023-05-22,5.0553,5.1417,4.9896,5.0789,16720244.0,2216030999.0
2023-05-23,5.0792,5.2009,5.0229,5.041,14691575.0,2199581659.0
2023-05-24,5.0417,5.0422,4.7711,4.8263,19988415.0,2105953262.0
2023-05-25,4.8258,4.8807,4.7306,4.8208,15844868.0,2103598463.0
2023-05-26,4.8211,4.9219,4.7507,4.8312,18203799.0,2108120612.0
2023-05-27,4.8317,4.9644,4.8114,4.9149,18646543.0,2144676563.0
2023-05-28,4.9145,5.0483,4.879,5.0061,20452877.0,2184504412.0
2023-05-29,5.0044,5.0174,4.845,4.8778,19003340.0,2128560248.0
2023-05-30,4.8781,4.9518,4.8173,4.8359,21695654.0,2110317879.0
2023-05-31,4.8359,4.8393,4.6341,4.6814,25745555.0,2042929392.0
2023-06-01,4.6815,4.7285,4.5626,4.669,17666779.0,2037633391.0
2023-06-02,4.6694,4.8666,4.6455,4.8122,18316889.0,2100177789.0
2023-06-03,4.8117,4.854,4.7641,4.7988,11982730.0,2094576158.0
2023-06-04,4.7992,4.8667,4.7714,4.7934,11550328.0,2092230845.0
2023-06-05,4.7954,4.7985,4.1459,4.3466,36253829.0,1897219826.0
2023-06-06,4.3463,4.4649,4.2252,4.4265,24740381.0,1932140132.0
2023-06-07,4.426,4.426,4.1353,4.1928,20239579.0,1830161991.0
2023-06-08,4.1935,4.2253,4.1317,4.1773,14511941.0,1823420170.0
2023-06-09,4.1776,4.3396,4.1282,4.2662,18136644.0,1862279453.0
2023-06-10,4.2667,4.2722,3.3689,3.6996,52383197.0,1614932071.0
2023-06-11,3.6986,3.7627,3.6397,3.6569,15764571.0,1596295950.0
2023-06-12,3.6563,3.7503,3.5875,3.7244,16595545.0,1625807875.0
2023-06-13,3.7246,4.0292,3.7197,3.9624,29915076.0,1729709104.0
2023-06-14,3.9624,3.9997,3.7727,3.7908,20073400.0,1656771711.0
2023-06-15,3.7909,3.998,3.7016,3.9588,25609250.0,1730320565.0
2023-06-16,3.9589,4.0614,3.9044,3.9937,16666123.0,1745569763.0
2023-06-17,3.9939,4.0522,3.9333,3.9826,12287495.0,1741819720.0
2023-06-18,3.9819,4.0625,3.947,3.9571,11445259.0,1730708607.0
2023-06-19,3.9572,3.9905,3.8695,3.9478,11565198.0,1726704448.0
