date,open,high,low,close,volume,market_cap
2023-02-24,0.3891,0.3905,0.3741,0.3785,953355531.0,19283730483.0
2023-02-25,0.3785,0.3794,0.3723,0.3781,552223148.0,19263772901.0
2023-02-26,0.3781,0.3806,0.3754,0.378,441815645.0,19261559274.0
2023-02-27,0.378,0.38,0.3722,0.3791,1049508853.0,19316258144.0
2023-02-28,0.3791,0.3824,0.373,0.3771,1000693267.0,19216118796.0
2023-03-01,0.3771,0.3842,0.3737,0.3839,912485438.0,19558985493.0
2023-03-02,0.3839,0.3842,0.3745,0.3776,812536878.0,19238025098.0
2023-03-03,0.3776,0.3792,0.3599,0.3777,1204150691.0,19242687647.0
2023-03-04,0.3777,0.3795,0.3703,0.3738,556621575.0,19046115908.0
2023-03-05,0.3738,0.3771,0.3668,0.3672,505577640.0,18708866161.0
2023-03-06,0.3672,0.3732,0.361,0.3705,1161608429.0,18875845025.0
2023-03-07,0.3704,0.384,0.3681,0.3805,1479466647.0,19389246274.0
2023-03-08,0.3806,0.3991,0.3738,0.3892,1881889627.0,19829460172.0
2023-03-09,0.3892,0.3964,0.3667,0.3721,1727254553.0,18960379511.0
2023-03-10,0.3721,0.3747,0.3599,0.3706,1450894929.0,18883549994.0
2023-03-11,0.3706,0.3747,0.3621,0.3668,1051093584.0,18690407768.0
2023-03-12,0.3668,0.3733,0.3525,0.3733,1102164948.0,19020903152.0
2023-03-13,0.3734,0.381,0.3581,0.3738,1694593960.0,19044718113.0
2023-03-14,0.3738,0.3875,0.3673,0.3743,1527899940.0,19069843645.0
2023-03-15,0.3743,0.3772,0.3588,0.3606,1062482118.0,18370734851.0
2023-03-16,0.3606,0.3673,0.3585,0.366,692737535.0,18649316295.0
2023-03-17,0.366,0.3813,0.3636,0.3804,1046497903.0,19380800908.0
2023-03-18,0.3804,0.3879,0.3734,0.3744,867351027.0,19077717828.0
2023-03-19,0.3744,0.4,0.3744,0.3885,1189636323.0,19792636070.0
2023-03-20,0.3884,0.3921,0.374,0.3746,1074222480.0,19087613742.0
2023-03-21,0.3746,0.4914,0.3745,0.4697,4178958939.0,23932164232.0
2023-03-22,0.4697,0.4745,0.4129,0.4225,3312385991.0,21525747665.0
2023-03-23,0.4225,0.4541,0.4155,0.4449,2161421825.0,22665534571.0
2023-03-24,0.4449,0.4449,0.418,0.4259,1314887049.0,21700105315.0
2023-03-25,0.4259,0.4636,0.4242,0.4447,1832767576.0,22658711029.0
2023-03-26,0.4447,0.463,0.4428,0.4488,1090501588.0,22867642501.0
2023-03-27,0.4488,0.4876,0.4439,0.48,2730255979.0,24805077972.0
2023-03-28,0.4801,0.5298,0.4702,0.5151,3163217119.0,26617281708.0
2023-03-29,0.515,0.5804,0.515,0.5436,4092945977.0,28091096061.0
2023-03-30,0.5437,0.5542,0.5272,0.5342,2694676898.0,27609013087.0
2023-03-31,0.5343,0.5469,0.5286,0.5385,1934253477.0,27828271565.0
2023-04-01,0.5385,0.5385,0.5015,0.5147,1829835076.0,26600884290.0
2023-04-02,0.51,0.5285,0.5035,0.519,1488648839.0,26803620003.0
2023-04-03,0.5189,0.5232,0.4869,0.497,1655872706.0,25667659150.0
2023-04-04,0.4969,0.5076,0.489,0.5035,1230443035.0,26004383762.0
2023-04-05,0.5035,0.5256,0.5001,0.5062,1402532299.0,26146735514.0
2023-04-06,0.5063,0.509,0.4945,0.5033,1077113140.0,26014728556.0
2023-04-07,0.5033,0.5142,0.4991,0.5137,1060408546.0,26554250786.0
2023-04-08,0.5137,0.5137,0.5044,0.5057,587641054.0,26139670730.0
2023-04-09,0.5057,0.5091,0.5009,0.5058,550582813.0,26145783969.0
2023-04-10,0.5058,0.5197,0.5013,0.5183,914389505.0,26791069408.0
2023-04-11,0.5183,0.5263,0.5133,0.5175,1206362804.0,26749708886.0
2023-04-12,0.5176,0.518,0.5014,0.5061,1063340695.0,26191853778.0
2023-04-13,0.5052,0.5148,0.5026,0.5133,963105081.0,26563293568.0
2023-04-14,0.5133,0.5438,0.5125,0.524,1597156518.0,27117062181.0
2023-04-15,0.524,0.5258,0.5183,0.5204,670556486.0,26933378690.0
2023-04-16,0.5204,0.5243,0.5172,0.5214,631212313.0,26982441054.0
2023-04-17,0.5214,0.5214,0.5083,0.5111,1021376248.0,26451231195.0
2023-04-18,0.5111,0.536,0.5106,0.5323,1169237634.0,27545102529.0
2023-04-19,0.5322,0.5344,0.4893,0.4916,2047949057.0,25440636298.0
2023-04-20,0.4915,0.4988,0.4687,0.4749,1484251970.0,24574282983.0
2023-04-21,0.4749,0.4788,0.4427,0.4494,1412575276.0,23256583202.0
2023-04-22,0.4494,0.4745,0.4468,0.4727,948350839.0,24460574338.0
2023-04-23,0.4727,0.4727,0.4559,0.465,745785219.0,24064973701.0
2023-04-24,0.465,0.4825,0.451,0.4613,1287683583.0,23871250036.0
2023-04-25,0.4613,0.4715,0.452,0.47,1120038773.0,24322621362.0
2023-04-26,0.47,0.4825,0.4413,0.462,1585410692.0,23910811594.0
2023-04-27,0.4621,0.4693,0.4574,0.4669,1631460643.0,24160789362.0
2023-04-28,0.4669,0.4811,0.4646,0.4803,1145414603.0,24854392601.0
2023-04-29,0.4802,0.4851,0.4757,0.4784,611537970.0,24758076467.0
2023-04-30,0.4784,0.4818,0.471,0.4723,556459700.0,24443538174.0
2023-05-01,0.4722,0.4726,0.4572,0.465,941003865.0,24062362196.0
2023-05-02,0.465,0.4658,0.4594,0.465,903846077.0,24069690926.0
2023-05-03,0.465,0.4653,0.4514,0.4635,1049175706.0,23994314430.0
2023-05-04,0.4635,0.465,0.456,0.4616,752455291.0,23894825543.0
2023-05-05,0.4616,0.4698,0.4583,0.4678,857113580.0,24249736808.0
2023-05-06,0.4678,0.4691,0.4548,0.4595,592275764.0,23822036891.0
2023-05-07,0.4595,0.461,0.4502,0.4504,440082859.0,23345911525.0
2023-05-08,0.4503,0.4517,0.4186,0.4289,1307982057.0,22233996404.0
2023-05-09,0.4289,0.4302,0.4219,0.4299,911350658.0,22284433211.0
2023-05-10,0.4298,0.4337,0.4178,0.4309,1068763583.0,22335512674.0
2023-05-11,0.4309,0.4309,0.413,0.4219,906511894.0,21869283783.0
2023-05-12,0.4218,0.44,0.4177,0.4307,1174284548.0,22327467995.0
2023-05-13,0.4307,0.4309,0.4247,0.4249,389293055.0,22026044797.0
2023-05-14,0.4249,0.4313,0.4232,0.4259,369801280.0,22075646338.0
2023-05-15,0.4259,0.4303,0.4228,0.4276,749923785.0,22163904275.0
2023-05-16,0.4276,0.4414,0.4202,0.4414,963282009.0,22882373725.0
2023-05-17,0.4414,0.4596,0.4389,0.4486,1518727788.0,23253852494.0
2023-05-18,0.4486,0.4713,0.4438,0.4603,1356400752.0,23860882333.0
2023-05-19,0.4603,0.4738,0.4585,0.468,1083307614.0,24275682787.0
2023-05-20,0.468,0.4708,0.4635,0.4691,479336096.0,24332727397.0
2023-05-21,0.4691,0.4706,0.4566,0.4575,537234089.0,23734559209.0
2023-05-22,0.4576,0.4663,0.4522,0.4616,904918280.0,23944694326.0
2023-05-23,0.4616,0.4668,0.4594,0.4654,829964870.0,24143344224.0
2023-05-24,0.4654,0.4654,0.4475,0.4536,1029450864.0,23530151449.0
2023-05-25,0.4536,0.4546,0.4456,0.4537,697466810.0,23536605398.0
2023-05-26,0.4537,0.4696,0.453,0.4691,947890355.0,24387491299.0
2023-05-27,0.4691,0.4777,0.4667,0.4722,634937525.0,24548875919.0
2023-05-28,0.4722,0.4858,0.4708,0.4829,570647795.0,25102181891.0
2023-05-29,0.4829,0.4944,0.4779,0.4942,1039953786.0,25687665113.0
2023-05-30,0.4942,0.5254,0.4905,0.5219,2119990185.0,27132112414.0
2023-05-31,0.5219,0.5272,0.5025,0.5174,1585723566.0,26895488013.0
2023-06-01,0.5174,0.5174,0.5032,0.5073,1095700204.0,26372062614.0
2023-06-02,0.5073,0.5263,0.505,0.5254,1070731055.0,27311401350.0
2023-06-03,0.5254,0.5299,0.517,0.5194,684948363.0,26999494034.0
2023-06-04,0.5194,0.5447,0.5166,0.5359,943439712.0,27860418486.0
2023-06-05,0.536,0.5414,0.4935,0.5104,2077075618.0,26533840028.0
2023-06-06,0.5104,0.5318,0.4982,0.5305,1595950808.0,27577226652.0
2023-06-07,0.5304,0.5371,0.5089,0.5196,1649651366.0,27013904808.0
2023-06-08,0.5196,0.5273,0.517,0.5245,954016646.0,27269590015.0
2023-06-09,0.5245,0.5399,0.5217,0.5379,1233816475.0,27964719426.0
2023-06-10,0.538,0.538,0.4824,0.5082,2110109968.0,26419755525.0
2023-06-11,0.5082,0.5284,0.5043,0.5212,828115958.0,27096702675.0
2023-06-12,0.5212,0.5275,0.5111,0.5257,1199140307.0,27330675869.0
2023-06-13,0.5257,0.5614,0.5088,0.5201,2617707336.0,27037736451.0
2023-06-14,0.5201,0.5202,0.4675,0.4802,1757437649.0,24965212197.0
2023-06-15,0.4802,0.4845,0.4696,0.4801,1180880587.0,24959878737.0
2023-06-16,0.4801,0.4823,0.4593,0.4757,1166129294.0,24732446366.0
2023-06-17,0.4758,0.4852,0.4706,0.4798,635717535.0,24942869531.0
2023-06-18,0.4798,0.4967,0.4766,0.4876,743984056.0,25347462928.0
2023-06-19,0.4876,0.4973,0.4837,0.4934,870856054.0,25650119185.0
2023-06-20,0.4934,0.4956,0.4738,0.4929,1073485912.0,25632026206.0
2023-06-21,0.4929,0.5025,0.4903,0.5007,1305891782.0,26085511673.0
2023-06-22,0.5006,0.5232,0.4913,0.495,1518125316.0,25787538235.0
2023-06-23,0.495,0.5019,0.4861,0.4966,1108503309.0,25870409852.0
2023-06-24,0.4966,0.4966,0.4828,0.4873,693890997.0,25464187211.0
2023-06-25,0.4873,0.4956,0.4842,0.4903,681228509.0,25619098546.0
2023-06-26,0.4903,0.4913,0.4746,0.4793,953227780.0,25047170132.0
2023-06-27,0.4794,0.485,0.4772,0.4838,847044879.0,25282732967.0
2023-06-28,0.4838,0.4839,0.4565,0.4652,989599376.0,24309836285.0
2023-06-29,0.4652,0.4767,0.4624,0.4747,718808031.0,24806241135.0
2023-06-30,0.4747,0.4823,0.4565,0.474,1261905827.0,24770487291.0
2023-07-01,0.474,0.4755,0.4656,0.4735,737421634.0,24743578324.0
2023-07-02,0.4735,0.4945,0.4713,0.4845,1154671474.0,25316849467.0
2023-07-03,0.4845,0.4909,0.4797,0.4895,1059955641.0,25580925463.0
2023-07-04,0.4895,0.4926,0.4833,0.4878,841667226.0,25491811754.0
2023-07-05,0.4878,0.4916,0.4712,0.4783,950150566.0,24991780176.0
2023-07-06,0.4782,0.4838,0.4633,0.4637,950187883.0,24232337305.0
2023-07-07,0.4637,0.4705,0.4606,0.4688,682747263.0,24495002784.0
2023-07-08,0.4688,0.474,0.466,0.4706,409435365.0,24593166379.0
2023-07-09,0.4706,0.4718,0.4681,0.4686,324938269.0,24483751871.0
2023-07-10,0.4686,0.48,0.4646,0.4777,885726455.0,24960002266.0
2023-07-11,0.4777,0.4783,0.4718,0.4757,645625637.0,24996234074.0
2023-07-12,0.4757,0.477,0.4679,0.4711,715809444.0,24753774551.0
2023-07-13,0.4711,0.8875,0.4701,0.8154,10397344596.0,42842606761.0
2023-07-14,0.8162,0.8214,0.6808,0.7192,7060210982.0,37787427834.0
2023-07-15,0.7192,0.731,0.6969,0.7133,3369947488.0,37478573010.0
2023-07-16,0.7134,0.7873,0.7097,0.7469,3937651423.0,39243100874.0
2023-07-17,0.747,0.7603,0.7184,0.7392,2506419441.0,38840879746.0
2023-07-18,0.7391,0.781,0.7361,0.7795,2626009775.0,40960204447.0
2023-07-19,0.7796,0.8418,0.7743,0.8207,3954595150.0,43122602931.0
2023-07-20,0.8206,0.8468,0.7739,0.7941,2843382854.0,41723050383.0
2023-07-21,0.794,0.798,0.7641,0.7725,1860721533.0,40590437585.0
2023-07-22,0.7724,0.7789,0.7307,0.7333,1637792182.0,38529919591.0
2023-07-23,0.7333,0.7506,0.7193,0.7387,1541388766.0,38813403048.0
2023-07-24,0.7386,0.7415,0.6876,0.7028,2266820366.0,37011092556.0
2023-07-25,0.7028,0.7141,0.6791,0.7096,1813094168.0,37371036626.0
2023-07-26,0.7096,0.7295,0.6961,0.7158,1676809706.0,37697512542.0
2023-07-27,0.7158,0.7271,0.7091,0.7136,1480051564.0,37604745960.0
2023-07-28,0.7136,0.7175,0.7045,0.7126,1055913805.0,37547929716.0
2023-07-29,0.7125,0.7146,0.7069,0.7127,725769153.0,37556972708.0
2023-07-30,0.7127,0.7298,0.6935,0.7051,1323282055.0,37156333803.0
2023-07-31,0.7051,0.7174,0.6922,0.6985,1488758727.0,36807748713.0
2023-08-01,0.6985,0.7072,0.6835,0.7072,1438067858.0,37265657851.0
2023-08-02,0.7071,0.7071,0.6802,0.6852,1132335650.0,36105538864.0
2023-08-03,0.6852,0.6868,0.6589,0.6641,1414576525.0,35027336157.0
2023-08-04,0.6641,0.6664,0.6303,0.6355,1342066974.0,33519139692.0
2023-08-05,0.6355,0.6355,0.6126,0.6284,1142144189.0,33143859767.0
2023-08-06,0.6284,0.6364,0.6216,0.6231,849060664.0,32862411390.0
2023-08-07,0.6231,0.6278,0.605,0.6219,1417493753.0,32801441322.0
2023-08-08,0.6219,0.6449,0.6153,0.6424,1296031585.0,33881337455.0
2023-08-09,0.6424,0.6623,0.6347,0.6434,1659437400.0,33931898919.0
2023-08-10,0.6433,0.6434,0.6253,0.633,1159039975.0,33413597919.0
2023-08-11,0.633,0.6391,0.6273,0.6317,885715586.0,33344405641.0
2023-08-12,0.6317,0.6322,0.6255,0.6272,519563800.0,33108466327.0
2023-08-13,0.6272,0.637,0.6249,0.6261,635297148.0,33050204997.0
2023-08-14,0.6261,0.6355,0.6247,0.6343,939329129.0,33482036939.0
2023-08-15,0.6342,0.6342,0.5935,0.6096,1230727429.0,32179058867.0
2023-08-16,0.6096,0.6143,0.5791,0.5883,1688583741.0,31088361407.0
2023-08-17,0.5883,0.5935,0.4681,0.5071,2425926882.0,26798331278.0
2023-08-18,0.5072,0.5171,0.4876,0.5061,2169285316.0,26743279846.0
2023-08-19,0.5061,0.5232,0.502,0.5196,1038954380.0,27458178052.0
2023-08-20,0.5196,0.553,0.5173,0.5395,1471670949.0,28510647907.0
2023-08-21,0.5395,0.5398,0.51,0.5245,1445315789.0,27717568717.0
2023-08-22,0.5245,0.5248,0.5063,0.5209,1227160129.0,27526890713.0
2023-08-23,0.5209,0.5348,0.5164,0.5299,1007927236.0,28039311574.0
2023-08-24,0.5299,0.5314,0.5133,0.5184,881617931.0,27431380938.0
2023-08-25,0.5185,0.5298,0.5087,0.5262,1067427241.0,27845876512.0
2023-08-26,0.5262,0.5269,0.5193,0.5235,541153725.0,27698998899.0
2023-08-27,0.5235,0.5296,0.5215,0.5238,584757090.0,27718801745.0
2023-08-28,0.5238,0.5244,0.5127,0.5232,842593344.0,27687243602.0
