date,open,high,low,close,volume,market_cap,coin,log_close,log_volume,log_market_cap,log_return,log_close_open_ratio,log_high_low_ratio,ma_7,ma_30,volatility_7,log_volume_change,price_direction
2022-12-08,16847.35,17267.92,16788.78,17233.47,20496603770.0,331370511898.0,Bitcoin,9.75460870216447,23.743525039609928,26.52650295758761,,0.02266004878186436,0.028139638685185764,,,,,1
2022-12-09,17232.15,17280.55,17100.84,17133.15,20328426366.0,329458400093.0,Bitcoin,9.748770462328793,23.735286057065448,26.520715931304,-0.005838239835678308,-0.005761641764867671,0.010454006463944643,,,,-0.008238982544476614,0
2022-12-10,17134.22,17216.83,17120.68,17128.72,12706781969.0,329389313683.0,Bitcoin,9.748511865817587,23.265401701183677,26.520506212399894,-0.00025859651120548283,-0.0003210465912873232,0.005600304232844738,,,,-0.46988435588177097,0
2022-12-11,17129.71,17245.64,17091.82,17104.19,14122486832.0,328933297476.0,Bitcoin,9.747078741715756,23.37103417475044,26.519120823922552,-0.0014331241018308988,-0.00149092009541692,0.008959371422961928,,,,0.10563247356676171,0
2022-12-12,17102.5,17212.56,16899.39,17206.44,19617581341.0,330914961275.0,Bitcoin,9.753039011329042,23.69969200830623,26.52512726473823,0.005960269613285444,0.006059080693888168,0.01836182328443461,,,,0.3286578335557893,1
2022-12-13,17206.44,17930.09,17111.76,17781.32,26634741631.0,341988994228.0,Bitcoin,9.7859037470321,24.00548227691165,26.558044392871327,0.032864735703058416,0.032864735703058416,0.04671436068849269,,,,0.3057902686054219,1
2022-12-14,17782.07,18318.53,17652.1,17652.1,25900123362.0,339521782854.0,Bitcoin,9.778610035453836,23.977513568652142,26.550803943459798,-0.007293711578264307,-0.007335889784566397,0.03705835938019821,9.759503223691654,,,-0.02796870825950815,0
2022-12-15,17813.64,17846.74,17322.59,17364.86,20964448341.0,334010450284.0,Bitcoin,9.762203902951606,23.766093903891193,26.534438117709094,-0.016406132502229154,-0.025515832011487438,0.029809428432163335,9.76058825237553,,0.015630844664073964,-0.2114196647609511,0
2022-12-16,17364.55,17505.53,16584.7,16647.48,24031608960.0,320225997954.0,Bitcoin,9.720014132602467,23.902635840757934,26.492292827073776,-0.04218977034913936,-0.04217191804470859,0.05403624741087752,9.756480205271771,,0.02273741469060594,0.1365419368667427,0
2022-12-17,16646.98,16800.59,16614.03,16795.09,14463581825.0,323078968932.0,Bitcoin,9.728841860769755,23.394899728743,26.501162616144857,0.008827728167287836,0.008857763194138338,0.011166485718892498,9.75367020455065,,0.02324744323573963,-0.507736112014934,1
2022-12-18,16795.61,16815.39,16697.82,16757.98,10924354698.0,322379914497.0,Bitcoin,9.726629841712679,23.114260509638946,26.498996545690893,-0.0022120190570752707,-0.00224298000757893,0.007016366520822167,9.75074893312164,,0.023241617939400445,-0.28063921910405504,0
2022-12-19,16759.04,16807.53,16398.14,16439.68,17221074814.0,316271488937.0,Bitcoin,9.707453203700537,23.569399750606756,26.479866823887605,-0.019176638012143365,-0.019239889458742936,0.024659086512828724,9.744236674888997,,0.023580096460593412,0.4551392409678095,0
2022-12-20,16441.79,17012.98,16427.87,16906.31,22722096615.0,325263465985.0,Bitcoin,9.735442204005958,23.84660370713156,26.50790135543433,0.02798900030542241,0.027860660544280585,0.03499729938341054,9.73702788302812,,0.022258027653622996,0.2772039565248037,1
2022-12-21,16904.53,16916.8,16755.91,16817.53,14882945045.0,323570505190.0,Bitcoin,9.730177073754271,23.4234817664587,26.50268287208672,-0.005265130251686581,-0.005159838575901793,0.009556179136074195,9.730108888499611,,0.02226994050962112,-0.42312194067285963,0
2022-12-22,16818.38,16866.67,16592.41,16830.34,16441573050.0,323831438044.0,Bitcoin,9.730938489000996,23.523078906303564,26.503488964409602,0.0007614152467237574,0.0007108740245487828,0.016394123367928136,9.72564240079238,,0.021994623893262847,0.09959713984486403,1
2022-12-23,16829.64,16905.22,16794.46,16796.95,15329265213.0,323203056786.0,Bitcoin,9.728952601290539,23.453029597370236,26.5015466214261,-0.001985887710456762,-0.0019442952912039548,0.006573379855343725,9.726919324890677,,0.01446133206245859,-0.07004930893332581,0
2022-12-24,16796.98,16864.7,16793.53,16847.76,9744636213.0,324190184506.0,Bitcoin,9.73197298925805,22.99998283857804,26.50459616974401,0.003020387967511585,0.0030186019305697915,0.004228986852187311,9.727366628960434,,0.014118474236243546,-0.45304675879220024,1
2022-12-25,16847.51,16860.55,16755.25,16841.99,11656379938.0,324093186301.0,Bitcoin,9.73163045183605,23.179119501224346,26.50429692342645,-0.0003425374220000536,-0.0003276985440208456,0.006264931634111449,9.728081001835202,,0.014077407777592706,0.17913666264630873,0
2022-12-26,16842.25,16920.12,16812.37,16919.81,11886957804.0,325604307791.0,Bitcoin,9.736240403782745,23.198707653178356,26.508948701303616,0.004609951946694031,0.00459451446020158,0.006388521361353643,9.732193458989801,,0.011013134909523725,0.019588151954009876,1
