date,open,high,low,close,volume,market_cap,coin,log_close,log_volume,log_market_cap,log_return,log_close_open_ratio,log_high_low_ratio,ma_7,ma_30,volatility_7,log_volume_change,price_direction
2022-12-14,4.1634,4.2101,3.8771,3.8929,24952417.0,1088082965.0,ICP,1.3591543811676512,17.032481249217337,20.807683237068517,,-0.06717766698376999,0.08239894888613397,,,,,0
2022-12-15,3.9951,4.039,3.8771,3.9255,17950774.0,1097217871.0,ICP,1.3674937316561733,16.70314379174609,20.81604360471863,0.008339350488521987,-0.01757487853789871,0.040909685086095854,,,,-0.32933745747124843,0
2022-12-16,3.925,3.9805,3.5316,3.5508,26281207.0,992500242.0,ICP,1.2671729302120274,17.084364678988713,20.715737814354306,-0.10032080144414596,-0.10019342102234441,0.1196564135012055,,,,0.3812208872426237,0
2022-12-17,3.5553,3.7329,3.4327,3.6895,37659352.0,1031260367.0,ICP,1.3054909475162841,17.44409187446001,20.75404754841112,0.03831801730425703,0.037051499635908744,0.08383828793544397,,,,0.3597271954712955,1
2022-12-18,3.6893,3.7299,3.6154,3.6844,11130022.0,1029877238.0,ICP,1.3041076901319435,16.225156699889485,20.752705445676924,-0.0013832573843406849,-0.001329048027792483,0.031178924086247627,,,,-1.2189351745705226,0
2022-12-19,3.6846,3.7393,3.389,3.4877,18318697.0,974955873.0,ICP,1.24924249317342,16.723432790226646,20.69790276947639,-0.05486519695852338,-0.054919478407851385,0.09836353550842576,,,,0.49827609033715947,0
2022-12-20,3.4909,3.7376,3.4612,3.7237,18990448.0,1040951658.0,ICP,1.3147177976306021,16.759446673874073,20.76340118746062,0.0654753044571821,0.06455821500534899,0.07682834446126954,1.309625710212586,,,0.036013883647426505,1
2022-12-21,3.7229,3.7331,3.5915,3.7134,15636213.0,1036448849.0,ICP,1.3119478989912339,16.565100128212023,20.759066138887686,-0.002769898639368255,-0.002555035479516146,0.03866904514701357,1.3028819270445262,,0.05566345181788622,-0.19434654566205065,0
2022-12-22,3.7144,3.7764,3.6138,3.7393,15478400.0,1043683691.0,ICP,1.31889842813334,16.554956061610802,20.766022302530413,0.006950529142106189,0.006681270409764943,0.04401132458063108,1.2959397408269788,,0.05560317276925928,-0.010144066601220657,1
2022-12-23,3.7395,3.7815,3.642,3.6627,15419992.0,1022320197.0,ICP,1.2982005803607823,16.55117540729258,20.745340583963664,-0.02069784777255757,-0.020751332288802785,0.0375877750085309,1.3003722622768008,,0.03897486701623796,-0.0037806543182226085,0
2022-12-24,3.6627,3.7613,3.6627,3.7502,10734110.0,1046875467.0,ICP,1.321809171893481,16.188937079477096,20.769075819067158,0.023608591532698796,0.023608591532698796,0.02656406196595279,1.302703437187829,,0.037199522369672,-0.36223832781548065,1
2022-12-25,3.7491,3.7758,3.7096,3.7666,12080350.0,1051463232.0,ICP,1.3261727377785097,16.307090723561153,20.773448585305932,0.0043635658850285615,0.004656926600799109,0.017688226683691678,1.3058555868516242,,0.03716728488911523,0.1181536440840549,1
2022-12-26,3.7664,3.921,3.7658,3.8557,21356451.0,1076339194.0,ICP,1.349552572891782,16.876864406566156,20.796831485069035,0.023379835113272497,0.023432934807961728,0.040386401230003525,1.3201855982399615,,0.02725489863183541,0.5697736830050018,1
2022-12-27,3.8554,3.9335,3.7716,3.8343,17868624.0,1070362369.0,ICP,1.3439868888236413,16.698556883611317,20.791263090703808,-0.0055656840681408614,-0.005487874157712636,0.04203030017777491,1.324366896981824,,0.015895492613335706,-0.17830752295483604,0
2022-12-28,3.8343,4.0232,3.7905,3.9669,34596903.0,1107438409.0,ICP,1.3779849332487497,17.35927472735129,20.82531544569604,0.03399804442510845,0.03399804442510845,0.05957966936139646,1.3338007590186123,,0.018989441550766244,0.660717843739974,1
2022-12-29,3.9664,4.099,3.9188,4.0206,30380252.0,1122436781.0,ICP,1.391431145225043,17.229303350028374,20.838767856172836,0.013446211976293126,0.01357226292625394,0.04495755703385045,1.3441625757459987,,0.01900656751790646,-0.12997137732291855,1
2022-12-30,4.0196,4.1387,3.9109,4.1204,24477589.0,1150306997.0,ICP,1.4159502460274014,17.01326852219599,20.863294697608758,0.02451910080235823,0.024767850834734907,0.05661420232575112,1.3609839565555153,,0.013608464335899755,-0.21603482783238276,1
2022-12-31,4.1204,4.1683,3.9302,3.9302,19624031.0,1097219300.0,ICP,1.3686903151715297,16.79226544461754,20.816044907102693,-0.047259930855871525,-0.047259930855871525,0.05881796365668891,1.3676812627380939,,0.027245831104598245,-0.22100307757844784,0
2023-01-01,3.9309,4.0526,3.9196,4.0176,15646294.0,1121673215.0,ICP,1.3906847094211834,16.565744641795856,20.838087349396584,0.0219943942496537,0.021816302124671234,0.033369042669565446,1.3768972586870472,,0.02780335665605418,-0.22652080282168563,1
2023-01-02,4.0188,4.2047,3.9539,3.9989,31921873.0,1116481963.0,ICP,1.386019323300457,17.27880200676926,20.833448474165493,-0.00466538612072661,-0.004964027305565272,0.06150051365741531,1.382106794459715,,0.027440469548779926,0.7130573649734036,0
2023-01-03,3.999,4.0517,3.8407,3.9141,41266215.0,1092804713.0,ICP,1.364585417957675,17.535554684414066,20.812013359546025,-0.021433905342781886,-0.021458911907006297,0.05348190447999036,1.3850494414788628,,0.029085140289197894,0.2567526776448035,0
