date,coin_id,coin_name,symbol,price_usd,market_cap_usd,volume_24h_usd,price_change_pct,scraped_at,market_cap_usd_imputed,volume_24h_usd_imputed,is_outlier,daily_return,ma_7,ma_30,volatility_7,vol_change,price_direction
2023-03-22,internet-computer,Internet Computer,ICP,5.11,1575663181.0,41613160.0,,2026-03-21T11:50:45.374779+00:00,False,False,False,,,,,,
2023-03-23,internet-computer,Internet Computer,ICP,5.23,1517250932.0,67287371.0,2.3483365949119372,2026-03-21T11:50:45.374342+00:00,False,False,False,,,,,,1.0
2023-03-24,internet-computer,Internet Computer,ICP,4.98,1557395162.0,29774144.0,-4.780114722753348,2026-03-21T11:50:45.373907+00:00,False,False,False,0.023483365949119372,,,,0.61697335650549,0.0
2023-03-25,internet-computer,Internet Computer,ICP,4.93,1483930217.0,37627125.0,-1.0040160642570406,2026-03-21T11:50:45.373461+00:00,False,False,False,-0.04780114722753348,,,,-0.5575076933827597,0.0
2023-03-26,internet-computer,Internet Computer,ICP,5.0,1466155460.0,26324260.0,1.4198782961460488,2026-03-21T11:50:45.373021+00:00,False,False,False,-0.010040160642570406,,,,0.2637516967742213,1.0
2023-03-27,internet-computer,Internet Computer,ICP,4.78,1496849336.0,21401760.0,-4.399999999999993,2026-03-21T11:50:45.372582+00:00,False,False,False,0.014198782961460488,,,,-0.3003914064654156,0.0
2023-03-28,internet-computer,Internet Computer,ICP,4.84,1422650334.0,34880320.0,1.2552301255229992,2026-03-21T11:50:45.372144+00:00,False,False,False,-0.04399999999999993,,,,-0.18699481011052166,1.0
2023-03-29,internet-computer,Internet Computer,ICP,5.15,1442290789.0,25144182.0,6.404958677685957,2026-03-21T11:50:45.371711+00:00,False,False,False,0.012552301255229992,4.981428571428572,,,0.6297874567325303,1.0
2023-03-30,internet-computer,Internet Computer,ICP,5.03,1535458393.0,41895605.0,-2.3300970873786464,2026-03-21T11:50:45.371272+00:00,False,False,False,0.06404958677685957,4.9871428571428575,,0.03939674455853324,-0.27912983596480767,0.0
2023-03-31,internet-computer,Internet Computer,ICP,5.2,1496483459.0,38187772.0,3.379721669980107,2026-03-21T11:50:45.370838+00:00,False,False,False,-0.023300970873786464,4.958571428571429,,0.03906773394389298,0.6662146734381735,1.0
2023-04-01,internet-computer,Internet Computer,ICP,5.25,1551951600.0,39297743.0,0.961538461538458,2026-03-21T11:50:45.370399+00:00,False,False,False,0.03379721669980107,4.99,,0.0362042319851512,-0.08850171754292602,1.0
2023-04-02,internet-computer,Internet Computer,ICP,5.08,1563809147.0,29300590.0,-3.23809523809524,2026-03-21T11:50:45.369964+00:00,False,False,False,0.009615384615384581,5.035714285714286,,0.035439032107710995,0.029066136668041365,0.0
2023-04-03,internet-computer,Internet Computer,ICP,4.93,1510787941.0,36937714.0,-2.952755905511817,2026-03-21T11:50:45.369529+00:00,False,False,False,-0.0323809523809524,5.047142857142857,,0.03865018239922083,-0.25439509337724564,0.0
2023-04-04,internet-computer,Internet Computer,ICP,5.0,1470431166.0,48540084.0,1.4198782961460488,2026-03-21T11:50:45.369094+00:00,False,False,False,-0.02952755905511817,5.068571428571429,,0.03602059566745734,0.2606474477135101,1.0
2023-04-05,internet-computer,Internet Computer,ICP,5.02,1487446203.0,35829299.0,0.4000000000000003,2026-03-21T11:50:45.368659+00:00,False,False,False,0.014198782961460488,5.091428571428572,,0.03608366362746227,0.31410633587124526,1.0
2023-04-06,internet-computer,Internet Computer,ICP,4.89,1501053499.0,40874333.0,-2.589641434262946,2026-03-21T11:50:45.368198+00:00,False,False,False,0.0040000000000000036,5.072857142857144,,0.025285364969818813,-0.261861619357725,0.0
2023-04-07,internet-computer,Internet Computer,ICP,5.0,1461830952.0,32686857.0,2.249488752556239,2026-03-21T11:50:45.367576+00:00,False,False,False,-0.02589641434262946,5.0528571428571425,,0.025642820618276007,0.14080749947131266,1.0
2023-04-08,internet-computer,Internet Computer,ICP,4.92,1491435462.0,36235963.0,-1.6000000000000014,2026-03-21T11:50:45.367137+00:00,False,False,False,0.02249488752556239,5.024285714285713,,0.023116586770497098,-0.20030849188413669,0.0
2023-04-09,internet-computer,Internet Computer,ICP,5.02,1468538783.0,24480392.0,2.0325203252032464,2026-03-21T11:50:45.366707+00:00,False,False,False,-0.016000000000000014,4.977142857142857,,0.022366821170101324,0.10857899246782887,1.0
2023-04-10,internet-computer,Internet Computer,ICP,5.19,1500088619.0,28409305.0,3.3864541832669515,2026-03-21T11:50:45.366272+00:00,False,False,False,0.020325203252032464,4.968571428571429,,0.02205966803773817,-0.3244172370967483,1.0
2023-04-11,internet-computer,Internet Computer,ICP,5.34,1569742216.0,40309665.0,2.890173410404606,2026-03-21T11:50:45.365839+00:00,False,False,False,0.033864541832669515,5.005714285714285,,0.02163747466418466,0.16049224211769153,1.0
2023-04-12,internet-computer,Internet Computer,ICP,5.41,1612763821.0,43032694.0,1.310861423220988,2026-03-21T11:50:45.365402+00:00,False,False,False,0.028901734104046062,5.054285714285713,,0.0230554193799717,0.4188895152486132,1.0
