date,coin_id,coin_name,symbol,price_usd,market_cap_usd,volume_24h_usd,price_change_pct,scraped_at,market_cap_usd_imputed,volume_24h_usd_imputed,is_outlier,daily_return,ma_7,ma_30,volatility_7,vol_change,price_direction
2023-03-22,ripple,XRP,XRP,0.425218,23963597177.0,4548747517.0,,2026-03-21T11:50:45.376937+00:00,False,False,False,,,,,,
2023-03-23,ripple,XRP,XRP,0.44822,21687465410.0,4517426408.0,5.409460559054424,2026-03-21T11:50:45.376653+00:00,False,False,False,,,,,,1.0
2023-03-24,ripple,XRP,XRP,0.4268,22838007730.0,2294537470.0,-4.778903217170138,2026-03-21T11:50:45.376386+00:00,False,False,False,0.05409460559054424,,,,-0.006885655641018507,0.0
2023-03-25,ripple,XRP,XRP,0.44903,21860547089.0,1705300122.0,5.20852858481724,2026-03-21T11:50:45.376122+00:00,False,False,False,-0.047789032171701384,,,,-0.49206976212461195,1.0
2023-03-26,ripple,XRP,XRP,0.450798,22901966241.0,2226693786.0,0.3937376121862623,2026-03-21T11:50:45.375608+00:00,False,False,False,0.0520852858481724,,,,-0.2568000547840258,1.0
2023-03-27,ripple,XRP,XRP,0.480489,23017901905.0,1450602337.0,6.586320258741174,2026-03-21T11:50:45.375097+00:00,False,False,False,0.0039373761218626235,,,,0.30574891614298494,1.0
2023-03-28,ripple,XRP,XRP,0.516813,24887269626.0,2674251775.0,7.559798455323641,2026-03-21T11:50:45.374664+00:00,False,False,False,0.06586320258741174,,,,-0.34853981893673813,1.0
2023-03-29,ripple,XRP,XRP,0.545396,26697226442.0,4020187192.0,5.530627132057453,2026-03-21T11:50:45.374223+00:00,False,False,False,0.07559798455323641,0.45676685714285714,,,0.843545751160609,1.0
2023-03-30,ripple,XRP,XRP,0.537231,28206497479.0,5031225482.0,-1.4970773529692116,2026-03-21T11:50:45.373790+00:00,False,False,False,0.05530627132057453,0.4739351428571429,,0.04370376719152691,0.5032942034786534,0.0
2023-03-31,ripple,XRP,XRP,0.538909,27787487719.0,3170922799.0,0.3123423629686206,2026-03-21T11:50:45.373342+00:00,False,False,False,-0.014970773529692116,0.486651,,0.046885156347492185,0.25149035149704546,1.0
